Romanian,English
ajuta,to help
ramâne,to remain
cine,who 
înca,yet 
nimic,nothing 
calitate,quality 
membru,limb 
acel,that 
curs,course 
teren,ground 
mediu,environment 
vorbi,to talk
participa,to participate
vreme,time 
principal,chief 
ministru,minister 
cere,to ask
lucrare,work 
economic,economic 
greu,hard 
ales,chosen 
frumos,beautiful 
final,final 
decizie,decision 
necesar,necessary 
simplu,simple 
social,social 
personal,personal 
minut,minute 
minister,ministry 
strada,street 
organiza,organize 
medic,doctor 
motiv,reason 
fond,background 
ajutor,help 
contract,contract 
arata,to show
aparea,to appear
suma,amount 
imagine,image 
club,club 
sita,sieve 
grup,a group
pleca,to leave
album,album 
continua,to continue
elev,student 
material,material 
studiu,study 
plus,plus 
concurs,competition 
printre,among 
permite,allow 
idee,idea 
pierde,to lose
proces,trial 
astazi,today 
asigura,to ensure
putere,power 
oficial,official 
fost,former 
reprezenta,to represent
tânar,young man
gasi,to find
lider,leader 
termen,term 
ieri,yesterday 
categorie,category 
forma,form 
schimba,to change
deschide,to open
juca,to play
liber,free 
post,post 
cap,head 
conform,according to
uita,to forget
film,movie 
stare,condition 
vechi,old 
considera,to consider
total,total 
septembrie,september 
saptamâna,week 
conducere,leadership 
pagina,page 
plan,plan 
dezvoltare,development 
lung,long 
poate,maybe 
vot,vote 
limba,language 
zice,to say
ma,me 
metru,metre 
succes,success 
jos,down 
lucra,to work
culoare,color 
tema,theme 
foto,photo 
propune,to propose
rând,row 
diferit,different 
tare,strongly 
istorie,history 
model,model 
conduce,to lead
acord,accord 
carte,book 
posibil,possibly 
direct,directly 
crea,to create
deoarece,because 
trimite,to send
masa,table 
încerca,to try
serie,series 
nimeni,no one
comisie,commission 
lista,list 
prieten,friend 
parlament,parliament 
înainte,before 
zece,ten 
scop,purpose 
cinci,five 
sport,sport 
probabil,probable 
interes,interest 
medical,medical 
mie,thousand 
act,act 
magazin,shop 
actual,current 
preciza,to specify
suta,hundred 
biserica,church 
criza,crisis 
cultura,culture 
exemplu,example 
cont,account 
puternic,strong 
vreun,any 
mesaj,message 
masura,measure 
Dumnezeu,God 
octombrie,october 
produce,to produce
ridica,raise 
ocupa,take up
ochi,eye 
mama,mother 
scoate,take out
cale,way 
medie,average 
clasa,class 
financiar,financial 
stabili,to establish
profesor,professor 
altfel,otherwise 
lasa,to leave
vineri,Friday 
destul,enough 
scurt,short 
dosar,folder 
efect,effect 
anumit,certain 
plin,full 
azi,today 
sala,hall 
hotel,hotel 
unu,one 
întreg,whole 
vârsta,age 
complet,completely 
ocazie,occasion 
noiembrie,november 
cerere,request 
iunie,june 
transport,transport 
sat,village 
acasa,at home
societate,society 
majoritate,majority 
rapid,rapidly 
acorda,to grant
muzica,music 
reveni,to return
acces,access 
publica,to publish
duminica,Sunday 
miliard,billion 
sens,sense 
adresa,address 
control,control 
sigur,sure 
mondial,worldwide 
iulie,july 
explica,to explain
piesa,piece 
telefon,telephone 
obiectiv,objective 
natural,natural 
document,document 
rol,role 
fotbal,football 
martie,March 
economie,economy 
american,american 
joi,Thursday 
lansa,to launch
capitala,capital 
continuare,continuation 
tratament,treatment 
schimb,change 
arta,art 
partener,partner 
deci,so 
uniune,union 
depune,to lodge
sezon,season 
kilometru,kilometer 
extrem,extreme 
municipiu,municipality 
aprilie,april 
august,August 
subiect,subject 
imediat,immediately 
comuna,commune 
aplica,to apply
aspect,aspect 
coleg,colleague 
afirma,affirm 
energie,energy 
suflet,soul 
început,beginning 
premiu,prize 
schimbare,change 
departe,far 
comun,common 
celalalt,the other
urmator,following 
împotriva,against 
clar,clearly 
decembrie,December 
campionat,championship 
întâmpla,to happen
copie,copy 
cineva,someone 
lânga,by 
vara,summer 
cre?te,to grow
lipsa,lack 
maxim,maximum 
descoperi,discover 
curte,yard 
piele,skin 
aer,air 
sus,up 
sursa,source 
cultural,cultural 
normal,normal 
picior,foot 
ianuarie,January 
privire,a look
posibilitate,possibility 
concert,concert 
forma,to form
interior,interior 
plata,payment 
venit,income 
însemna,to mean
cuprinde,include 
corp,body 
apartament,apartment 
auzi,to hear
divers,diverse 
premier,prime minister
antrenor,trainer 
mijloc,middle 
citi,to read
raport,report 
împreuna,together 
universitate,university 
seama,account 
pas,step 
jucator,player 
risc,risk 
semna,to sign
grad,degree 
spate,back 
accident,accident 
animal,animal 
reducere,reduction 
sediu,headquarters 
grav,serious 
localitate,locality 
sim?i,to feel
parc,park 
construi,build 
mereu,always 
petrece,spend 
cercetare,research 
stea,star 
festival,festival 
dolar,dollar 
central,central 
recomanda,to recommend
purta,to wear
teatru,theatre 
gol,naked 
românesc,romanian 
recent,recent 
deosebit,different 
adevarat,TRUE 
consilier,counsellor 
republica,republic 
lupta,fight 
curent,current 
noapte,night 
asigurare,insurance 
etcetera,etcetera 
regiune,region 
abia,only 
sector,sector 
tocmai,just 
discuta,to discuss
banca,bank 
rest,rest 
muri,to die
parlamentar,parliamentary 
poveste,story 
exact,exactly 
salariu,salary 
prinde,to catch
ori,or 
text,text 
stil,style 
mâna,hand 
beneficia,to benefit
pensie,pension 
accepta,to accept
solicita,request 
cost,cost 
practic,practical 
seara,in the
gratuit,free 
detaliu,detail 
cod,code 
ruga,to pray
reduce,reduce 
grija,care 
sâmbata,Saturday 
încheia,end 
unic,unique 
victorie,victory 
electoral,electoral 
opinie,opinion 
semn,mark 
dezvolta,to develop
modificare,modification 
floare,flower 
intrare,entry 
sprijin,support 
titlu,title 
circa,about 
fizic,physical 
dispune,order 
vota,to vote
cupa,cup 
transforma,to transform
obiect,object 
trafic,traffic 
spera,to hope
linie,line 
istoric,historic 
autor,author 
zilnic,daily 
comercial,commercial 
realizare,achievement 
barbat,man 
alb,white 
poza,picture 
datorie,debt 
perfect,perfectly 
regula,rule 
ambii,both 
suferi,to suffer
lumina,light 
constitui,to constitute
numi,to name
fotografie,photography 
seara,evening 
termina,to finish
proba,trial 
penal,penal 
proprietar,owner 
marca,to mark
sanatate,health 
vizita,to visit
lemn,wood 
gen,gender 
tehnic,technical 
consum,consumption 
inima,heart 
repede,quickly 
utilizare,use 
corect,correct 
regim,regime 
real,real 
adauga,to add
profesional,professional 
cunoa?te,to know
februarie,february 
ziar,newspaper 
miercuri,wednesday 
contact,contact 
liceu,secondary school
jumatate,half 
structura,structure 
aparat,apparatus 
impune,to impose
militar,military 
privat,private 
modern,modern 
dragoste,love 
legal,legal 
realitate,reality 
iarna,winter 
foc,fire 
rau,badly 
victima,victim 
gândi,to think
element,element 
transmite,to transmit
indiferent,indifferent 
efort,effort 
revista,magazine 
trage,to shoot
atrage,to attract
verde,green 
kilogram,kilogram 
obicei,habit 
negru,black 
propunere,proposal 
bate,to beat
volum,volume 
utiliza,to use
complex,complex 
moarte,death 
reprezentant,representative 
cumpara,to buy
oricum,anyhow 
parcurs,route 
prevedea,foresee 
respecta,to respect
as,ace 
fiu,son 
pregati,to prepare
aur,gold 
examen,exam 
natura,nature 
opri,to stop
procuror,prosecutor 
sarcina,task 
popor,a people
ordine,order 
organizare,organization 
secol,century 
durata,duration 
specific,specific 
activ,active 
cazare,accommodation 
comunicare,communication 
restaurant,restaurant 
utilizator,user 
afecta,to affect
popular,popular 
minim,minimum 
vin,wine 
gaz,gas 
electric,electric 
ulterior,subsequent 
disponibil,available 
credit,credit 
turism,tourism 
partida,match 
rezolva,to resolve
suficient,sufficiently 
muzeu,museum 
colaborare,collaboration 
niciodata,never 
uneori,sometimes 
extern,external 
doamna,lady 
legatura,link 
nota,note 
treaba,work 
bloc,block 
sud,south 
evident,obvious 
prelua,to take over
analiza,analysis 
juridic,legal 
trupa,band 
planta,plant 
vis,dream 
scor,score 
limita,limit 
toamna,autumn 
liberal,liberal 
interesant,interesting 
fiscal,fiscal 
întreba,to ask
minte,mind 
caracter,character 
fruct,fruit 
pt,for 
observa,to notice
aproba,to approve
rus,russian 
design,design 
cladire,a building
scris,written 
german,german 
facultate,faculty 
industrie,industry 
arunca,throw 
teritoriu,territory 
întrebare,question 
video,video 
capacitate,capacity 
invita,to invite
atinge,to touch
convinge,to convince
televiziune,television 
locuitor,resident 
întoarce,to return
cauta,to search
tur,tour 
birou,bureau 
guvernare,governance 
unitate,unit 
acuza,to accuse
faza,phase 
mobil,mobile 
deputat,deputy 
refuza,to refuse
serios,serious 
carne,meat 
durere,pain 
completa,to complete
radio,radio 
standard,standard 
cariera,career 
nord,north 
intern,internal 
vina,guilt 
porni,to start
responsabil,responsible 
securitate,security 
eficient,efficient 
trai,to live
candidat,candidate 
uman,human 
actor,an actor
deschidere,opening 
participare,participation 
bilet,ticket 
obligatoriu,compulsory 
mandat,mandate 
anume,special 
anterior,previous 
pacat,sin 
promova,to promote
permanent,permanent 
unit,united 
prezentare,presentation 
lipsi,to lack
raspunde,reply 
drag,dear 
acoperi,to cover
pat,bed 
prefera,to prefer
întâlni,to meet
resursa,resource 
soare,sun 
exprima,to express
costa,to cost
adica,namely 
strategie,strategy 
pur,pure 
aduna,to gather
dovedi,to prove
via?a,life 
cunoscut,known 
fura,to steal
taia,to cut
medicament,drug 
anual,annual 
comunist,communist 
comunitate,community 
context,context 
test,test 
personaj,character 
unire,union 
adopta,to adopt
prevedere,provision 
razboi,war 
numeros,numerous 
determina,to determine
cer,"sky, heaven"
impozit,tax 
tata,father 
aminti,to remember
gura,mouth 
secret,secret 
aliment,food 
privi,to look
institut,institute 
ulei,oil 
confirma,to confirm
poarta,gate 
management,management 
aplicare,application 
baie,bathroom 
evaluare,assessment 
pensiune,pension 
viteza,speed 
contra,versus 
presupune,assume 
macar,even 
avantaj,advantage 
iubi,to love
pierdere,loss 
consuma,to consume
temperatura,temperature 
pericol,danger 
palat,palace 
contribui,to contribute
asculta,to listen
scadea,to decrease
rece,cold 
aeroport,airport 
bogat,rich 
iubire,love 
parcare,parking 
opt,eight 
înalt,high 
tehnologie,technology 
libertate,freedom 
parca,as if
lovi,to hit
datorita,due to
artist,artist 
bolnav,sick 
cursa,race 
sfat,advice 
raspuns,answer 
informa,to inform
civil,civil 
interesa,to interest
fa?a,face 
proprietate,property 
conflict,conflict 
plaja,beach 
turistic,tourist 
slab,weak 
dublu,double 
suport,support 
similar,similar 
autoritate,authority 
recunoa?te,to recognize
sfânt,saint 
dovada,proof 
presiune,pressure 
gust,taste 
util,useful 
adevar,truth 
manager,manager 
suna,to sound
închide,to close
misiune,mission 
agricol,agricultural 
curat,clean 
atitudine,attitude 
lapte,milk 
adresa,to address
evita,to avoid
stadion,stadium 
set,set 
calcul,calculation 
doctor,doctor 
des,often 
pamânt,earth 
secunda,second 
încredere,trust 
dans,dance 
petrecere,party 
site,website 
factor,factor 
pacient,patient 
ordin,order 
pastra,to keep
scaun,seat 
dificil,difficult 
rezulta,to result
profil,profile 
ascunde,to hide
electronic,electronic 
procent,percent 
minunat,wonderful 
scapa,to escape
francez,french 
voce,voice 
spirit,spirit 
voluntar,voluntary 
fan,fan 
parere,opinion 
profit,profit 
ideal,ideal 
comanda,command 
exterior,outer 
viu,alive 
protest,protest 
scandal,scandal 
altceva,something else
indica,to indicate
excelent,excellent 
identifica,to identify
start,start 
si,and 
